Date;USD_to_EUR
2007-12-31;0.67926
2008-01-07;0.67972
2008-01-14;0.67622
2008-01-21;0.68568
2008-01-28;0.67481
2008-02-04;0.68287
2008-02-11;0.68526
2008-02-18;0.67916
2008-02-25;0.66644
2008-03-03;0.65496
2008-03-10;0.64654
2008-03-17;0.63841
2008-03-24;0.63633
2008-03-31;0.63816
2008-04-07;0.63436
2008-04-14;0.63072
2008-04-21;0.63183
2008-04-28;0.64313
2008-05-05;0.64746
2008-05-12;0.64671
2008-05-19;0.63723
2008-05-26;0.6391
2008-06-02;0.6445
2008-06-09;0.6445
2008-06-16;0.64499
2008-06-23;0.63967
2008-06-30;0.63371
2008-07-07;0.63617
2008-07-14;0.6298
2008-07-21;0.63347
2008-07-28;0.63918
2008-08-04;0.64872
2008-08-11;0.6715
2008-08-18;0.6781
2008-08-25;0.67898
2008-09-01;0.69142
2008-09-08;0.70972
2008-09-15;0.70048
2008-09-22;0.68185
2008-09-29;0.70952
2008-10-06;0.73249
2008-10-13;0.73611
2008-10-20;0.77095
2008-10-27;0.78678
2008-11-03;0.78076
2008-11-10;0.78902
2008-11-17;0.79252
2008-11-24;0.77948
2008-12-01;0.79095
2008-12-08;0.76722
2008-12-15;0.71618
2008-12-22;0.7151
2008-12-29;0.71235
2009-01-05;0.73735
2009-01-12;0.75546
2009-01-19;0.7716
2009-01-26;0.76511
2009-02-02;0.78064
2009-02-09;0.77435
2009-02-16;0.79001
2009-02-23;0.78394
2009-03-02;0.7939
2009-03-09;0.78345
2009-03-16;0.75375
2009-03-23;0.74118
2009-03-30;0.75115
2009-04-06;0.75109
2009-04-13;0.75896
2009-04-20;0.76775
2009-04-27;0.75965
2009-05-04;0.74923
2009-05-11;0.73573
2009-05-18;0.7295
2009-05-25;0.71659
2009-06-01;0.70487
2009-06-08;0.71531
2009-06-15;0.72015
2009-06-22;0.71531
2009-06-29;0.71078
2009-07-06;0.71726
2009-07-13;0.71149
2009-07-20;0.70338
2009-07-27;0.70626
2009-08-03;0.69614
2009-08-10;0.70299
2009-08-17;0.70562
2009-08-24;0.69881
2009-08-31;0.70023
2009-09-07;0.68999
2009-09-14;0.6825
2009-09-21;0.67879
2009-09-28;0.68568
2009-10-05;0.67986
2009-10-12;0.67345
2009-10-19;0.66818
2009-10-26;0.67326
2009-11-02;0.67641
2009-11-09;0.66867
2009-11-16;0.67137
2009-11-23;0.66658
2009-11-30;0.66335
2009-12-07;0.67737
2009-12-14;0.69032
2009-12-21;0.69784
2009-12-28;0.69464
2010-01-04;0.69677
2010-01-11;0.69032
2010-01-18;0.70442
2010-01-25;0.71149
2010-02-01;0.72077
2010-02-08;0.7303
2010-02-15;0.73454
2010-02-22;0.73735
2010-03-01;0.73567
2010-03-08;0.7326
2010-03-15;0.7311
2010-03-22;0.74588
2010-03-29;0.74212
2010-04-05;0.74884
2010-04-12;0.73681
2010-04-19;0.74694
2010-04-26;0.75273
2010-05-03;0.7725
2010-05-10;0.78827
2010-05-17;0.80802
2010-05-24;0.81261
2010-05-31;0.81954
2010-06-07;0.83215
2010-06-14;0.81274
2010-06-21;0.81334
2010-06-28;0.81057
2010-07-05;0.79397
2010-07-12;0.7853
2010-07-19;0.77682
2010-07-26;0.76858
2010-08-02;0.75919
2010-08-09;0.76935
2010-08-16;0.77997
2010-08-23;0.78945
2010-08-30;0.78333
2010-09-06;0.78425
2010-09-13;0.77184
2010-09-20;0.7542
2010-09-27;0.73616
2010-10-04;0.7227
2010-10-11;0.71515
2010-10-18;0.71875
2010-10-25;0.71984
2010-11-01;0.71139
2010-11-08;0.72417
2010-11-15;0.73486
2010-11-22;0.74593
2010-11-29;0.7615
2010-12-06;0.75415
2010-12-13;0.7512
2010-12-20;0.76249
2010-12-27;0.75632
2011-01-03;0.75717
2011-01-10;0.76488
2011-01-17;0.74427
2011-01-24;0.73233
2011-01-31;0.7286
2011-02-07;0.73567
2011-02-14;0.73915
2011-02-21;0.72886
2011-02-28;0.72176
2011-03-07;0.71999
2011-03-14;0.71515
2011-03-21;0.70636
2011-03-28;0.70887
2011-04-04;0.70038
2011-04-11;0.69204
2011-04-18;0.69353
2011-04-25;0.67866
2011-05-02;0.67737
2011-05-09;0.69886
2011-05-16;0.70378
2011-05-23;0.70811
2011-05-30;0.6943
2011-06-06;0.68535
2011-06-13;0.69979
2011-06-20;0.69994
2011-06-27;0.69609
2011-07-04;0.69667
2011-07-11;0.70972
2011-07-18;0.70398
2011-07-25;0.69623
2011-08-01;0.70156
2011-08-08;0.70175
2011-08-15;0.69541
2011-08-22;0.69314
2011-08-29;0.6956
2011-09-05;0.71306
2011-09-12;0.72902
2011-09-19;0.73676
2011-09-26;0.73714
2011-10-03;0.75131
2011-10-10;0.72993
2011-10-17;0.72585
2011-10-24;0.71531
2011-10-31;0.7248
2011-11-07;0.73067
2011-11-14;0.73823
2011-11-21;0.74649
2011-11-28;0.7451
2011-12-05;0.74621
2011-12-12;0.76324
2011-12-19;0.76605
2011-12-26;0.76965
2012-01-02;0.77513
2012-01-09;0.78419
2012-01-16;0.77997
2012-01-23;0.76628
2012-01-30;0.76086
